sucursal,lat,lon
535 - Proxi Murguiondo 4324,-34.677878,-58.4746349
536 - Proxi Ricardo Balbin 4189,-34.554793,-58.4908877
537 - Proxi Charcas 4367,-34.583369,-58.4235227
538 - Proxi Hipolito Yrigoyen 3254,-34.612266,-58.4127188
539 - Proxi Donato Alvarez 837,-34.616698,-58.4582734
541 - Proxi Maipu 918,-34.597284,-58.3768362
542 - Proxi Segurola 279,-34.631578,-58.4855931
543 - Proxi Olazabal 5179,-34.576894,-58.4865975
545 - Proxi Libertad 1039,-34.596239,-58.3841921
546 - Proxi Moreno 1902,-34.612743,-58.3932191
547 - Proxi Av. Dorrego 851,-34.59127,-58.4469062
548 - Proxi Congreso 5241,-34.570587,-58.4917259
550 - Proxi Sarmiento 3885,-34.605131,-58.4190917
551 - Proxi Monroe 3576,-34.565122,-58.4709281
552 - Proxi Rivadavia 3751,-34.611122,-58.4189093
553 - Proxi Cuzco 135,-34.638213,-58.5277104
554 - Proxi Chilavert 6280,-34.684949,-58.4746778
555 - Proxi Guemes 4161,-34.584835,-58.4190112
556 - Proxi Grecia 3595,-34.546518,-58.4631443
557 - Proxi Arzobispo Espinosa 1187,-34.633561,-58.3694172
558 - Proxi Sarmiento 345,-34.604349,-58.3723837
559 - Proxi Teodoro Garcia 2310,-34.568453,-58.4446317
560 - Proxi Mitre 1749,-34.607895,-58.3913255
561 - Proxi Angel Gallardo 940,-34.606672,-58.4436661
562 - Proxi San Martin 620,-34.600934,-58.374102
563 - Proxi Hidalgo 955,-34.608579,-58.4412199
565 - Proxi Ecuador 932,-34.598913,-58.4060059
566 - Proxi Alvarez Thomas 1996,-34.578871,-58.4688088
568 - Proxi Olazabal 1898,-34.557422,-58.4536922
569 - Proxi Del Libertador 1140,-34.585767,-58.3876616
570 - Proxi Defensa 1400,-34.623907,-58.3712626
571 - Proxi Tacuari 89,-34.609184,-58.3793896
572 - Proxi Centenera 1282,-34.633932,-58.4360969
573 - Proxi Av. Cordoba 3721,-34.597761,-58.4195423
574 - Proxi Garcia del Rio 3166,-34.549965,-58.4759009
575 - Proxi Av. Directorio 483,-34.62792,-58.433066
576 - Proxi Nunez 1563,-34.545886,-58.4596521
577 - Proxi Av. Cordoba 2038,-34.599762,-58.3966363
579 - Proxi Av. Alte. Brown 795,-34.63225,-58.3614832
580 - Proxi Av. Corrientes 4147,-34.60295,-58.4233189
581 - Proxi Juan Maria Gutierrez 3756,-34.580715,-58.4128529
582 - Proxi Av. Congreso 4800,-34.567662,-58.48619
583 - Proxi Av. De Mayo 1241,-34.609202,-58.3841586
585 - Proxi Lima 945,-34.618692,-58.3819029
586 - Proxi San Martin 5930,-34.596094,-58.5003546
587 - Proxi Rojas 16-18,-34.619153,-58.4421694
588 - Proxi San Martin 4685,-34.597616,-58.4840924
589 - Proxi Peru 487,-34.613215,-58.3746716
590 - Proxi Pena 2544,-34.588788,-58.4006167
591 - Proxi J.D. Peron 4177,-34.605917,-58.4253466
592 - Proxi Echeverria 1420,-34.556817,-58.4459031
593 - Proxi Entre Rios 1192,-34.622508,-58.3908695
594 - Proxi Inclan 2502,-34.629946,-58.3994258
595 - Proxi Cosquin 78-80,-34.640676,-58.5236335
596 - Proxi Lacroze 3660,-34.582327,-58.4522653
597 - Proxi Sanabria 2733,-34.610782,-58.5066283
598 - Proxi Sarmiento 1810,-34.605745,-58.3929509
599 - Proxi Blanco Encalada 4470,-34.571532,-58.479774
600 - Proxi Directorio 3960,-34.640323,-58.4787709
604 - Proxi Av. Estado de Israel 4684,-34.600239,-58.4305608
605 - Proxi J. B. Alberdi 7071,-34.659352,-58.512733
606 - Proxi Obispo Trejo 1166 CBA,-31.428883,-64.1909373
607 - Proxi Chacabuco 727 CBA,-31.4261,-64.1837061
608 - Proxi Serrano 280,-34.59849,-58.4452057
609 - Proxi Libertador 4534,-34.566549,-58.4317517
610 - Proxi Pueyrredon 298 CBA,-31.426038,-64.192965
613 - Proxi Av. Congreso 2774,-34.557118,-58.4657782
614 - Proxi Murguiondo 4054,-34.675892,-58.4769255
615 - Proxi Av. Rivadavia 4702,-34.616177,-58.4320736
616 - Proxi Rio de Janeiro 71,-34.614637,-58.4298205
617 - Proxi Av. Monroe 3131,-34.562622,-58.4669906
618 - Proxi Bulnes 2751,-34.580392,-58.4058952
619 - Proxi Ramos Mejia 1019,-34.603594,-58.4334791
621 - Proxi Avellaneda 1034,-34.617096,-58.4447551
622 - Proxi Boyaca 1082,-34.616434,-58.4640563
623 - Proxi Av. Rivadavia 2520,-34.609873,-58.4025371
624 - Proxi Av. Nazca 3214,-34.599258,-58.4914041
625 - Proxi Montiel 1061,-34.651087,-58.5258704
626 - Proxi Ramon L. Falcon 5547,-34.639281,-58.5051048
627 - Proxi Paseo Colon 1179,-34.620857,-58.368398
628 - Proxi Rivadavia 4119,-34.612715,-58.4244395
630 - Proxi Araoz 2148,-34.588201,-58.41914
631 - Proxi Lavalle 368,-34.601899,-58.3718205
632 - Proxi Amenabar 2702,-34.557944,-58.4628761
633 - Proxi Bolivar 270,-34.611109,-58.3733922
634 - Proxi Moreno 1401,-34.612558,-58.3865592
636 - Proxi Ayacucho 1401,-34.592224,-58.3945227
637 - Mini San Martin 2218,-34.602301,-58.5619301
638 - Proxi Av. de Mayo 432 Derqui,-34.490827,-58.8431597
639 - Proxi Pedro Goyena 188,-34.625333,-58.4293431
640 - Proxi Boulogne Sur Mer 431,-34.605153,-58.4069301
641 - Proxi Alvear 126 CBA,-31.415113,-64.1806805
642 - Proxi General Paz 240 CBA,-31.41243,-64.18553
643 - Proxi Segurola 1441,-34.622534,-58.4964788
644 - Proxi 25 de mayo 979 CBA,-31.415933,-64.1697639
645 - Proxi Drago 287,-34.601484,-58.4373629
646 - Proxi Baunes 2692,-34.572654,-58.4897786
648 - Proxi Belgrano 54 CBA,-31.415424,-64.1883087
649 - Proxi Emilio Castro 6815,-34.652115,-58.5157263
650 - Proxi San Martin 26 CBA,-31.420835,-64.4986671
652 - Proxi Las Heras 2986,-34.583427,-58.4039372
654 - Proxi Hipolito Yrigoyen 1790,-34.610319,-58.3910841
656 - Proxi Viamonte 170,-34.599428,-58.3701414
657 - Proxi Montiel 1718,-34.657362,-58.5177715
658 - Proxi Larrazabal 265,-34.642044,-58.5141599
659 - Proxi Conesa 999,-34.573087,-58.4517825
660 - Proxi Juan F Segui 4524,-34.573847,-58.4204543
661 - Proxi Araoz 1140,-34.594485,-58.4286726
662 - Proxi Belgrano 3047,-34.615143,-58.4090724
664 - Proxi Nogoya 3664,-34.606155,-58.4974766
667 - Proxi Av. Directorio 4980,-34.65091,-58.4903419
669 - Proxi Yapeyu 2059 San Martin,-34.576338,-58.5347271
670 - Proxi Hidalgo 92,-34.617961,-58.4381139
671 - Proxi Sucre 2774,-34.566103,-58.4588635
672 - Proxi Av. Chilavert 6901,-34.689259,-58.4796721
673 - Proxi Carrasco 421,-34.632502,-58.4909535
674 - Proxi Virrey del Pino 2527,-34.567264,-58.4540497
676 - Proxi Chile 701,-34.616158,-58.3759511
677 - Proxi Alvarez Jonte 3079,-34.60933,-58.4857339
678 - Proxi Arregui 6399,-34.628379,-58.5236764
679 - Proxi Scalabrini Ortiz 1396,-34.592484,-58.4276372
680 - Proxi Carhue 1427,-34.654057,-58.5187626
682 - Proxi Viamonte 702,-34.599963,-58.3761254
683 - Proxi Cramer 2463,-34.561496,-58.4641421
684 - Proxi Mexico 1530,-34.615665,-58.3881819
685 - Proxi Pareja 4890,-34.605104,-58.5234726
686 - Proxi J. Agustin Garcia 3202,-34.612707,-58.4866083
687 - Proxi AV.Alvarez Jonte 1938,-34.603444,-58.470912
688 - Proxi Av Lope de Vega 19,-34.636721,-58.4996116
689 - Proxi Av.Independencia 2716,-34.618888,-58.4042913
691 - Proxi Av. La Plata 716,-34.624331,-58.4273905
692 - Mini Neuquen 520,-34.615701,-58.4382749
693 - Proxi Pedro Goyena 1680,-34.628313,-58.4508705
694 - Proxi Tucuman 1541,-34.601696,-58.3887935
695 - Proxi Av.Almirante Brown 261,-34.628626,-58.3658767
697 - Proxi Caboto 420,-34.627505,-58.3605874
698 - Proxi Belaustegui 2748,-34.615471,-58.4756756
699 - Proxi Dorrego 2145,-34.578034,-58.4390044
710 - Proxi Nahuel Huapi 5038,-34.571015,-58.4885073
711 - Proxi Av Alvarez Thomas 372,-34.581324,-58.4490815
714 - Mini Sucre 4230,-34.574478,-58.473047
715 - Proxi Av. Cordoba 4967,-34.591963,-58.4339404
716 - Proxi Castaneda 1812,-34.553923,-58.4368318
717 - Mini Junin 1460 - EE-CAD,-34.591204,-58.3955741
719 - Proxi Yerbal 2701,-34.628547,-58.4666741
720 - Proxi independencia 585 CBA,-31.423028,-64.1861522
723 - Proxi Alem 198,-34.605285,-58.3700073
724 - Proxi Ayacucho 539,-34.602614,-58.3954454
725 - Proxi Av. Directorio 2320,-34.633106,-58.4593624
726 - Proxi Lisandro de la Torre 199,-34.641347,-58.5208279
727 - Proxi Montiel 168,-34.640897,-58.5264391
729 - Av. Belgrano 2160,-34.614164,-58.3968937
731 - Proxi Sarmiento 4551,-34.603842,-58.4296274
732 - Proxi Ambrosetti 758,-34.610204,-58.4384948
733 - Proxi Lisandro de la Torre 790,-34.647896,-58.5191703
734 - Proxi Urquiza 1015,-34.622879,-58.4088886
735 - Proxi Av. Pueyrredon 2120,-34.587786,-58.3978057
736 - Proxi Chile 154 CBA,-31.430384,-64.1878688
739 - Proxi Roosevelt 3002,-34.560506,-58.4661698
740 - Proxi Av. Varela 888,-34.638796,-58.4593141
741 - Proxi Av. Triunvirato 4210,-34.578122,-58.4807074
742 - Proxi J. Bautista Alberdi 5494,-34.64877,-58.4994507
744 - Proxi Independencia 907,-34.617396,-58.3788264
745 - Proxi Serrano 1458,-34.589702,-58.4316659
747 - Proxi Cabrera 4106,-34.595999,-58.4242523
748 - Proxi Malabia 468,-34.598161,-58.4384358
751 - Mini Esmeralda 1040 - EE-CAD,-34.595929,-58.378526
752 - Mini Balcarce 379 - EE-CAD,-34.611869,-58.3705759
754 - Mini Av. Las Heras 3315,-34.58282,-58.4074157
755 - Mini Tribulato 1279 - EE-CAD,-34.541507,-58.7137975
757 - Mini Av. Santa Fe 2429,-34.594558,-58.4016733
761 - Mini Av. Corrientes 921 - EE-CAD,-34.603636,-58.379641
762 - Mini Sarachaga 780/82 - EE-CAD,-31.390962,-64.1845201
764 - Mini Av. San Lorenzo 480/84 - EE-CAD,-31.425267,-64.1796091
8001 - Franquicia Pilar - EE-CAD,-34.443345,-58.7555051
8002 - Suc. Caseros,-34.602305,-58.5619354
8003 - Boulogne,-34.508029,-58.5655189
8004 - Suc. San Miguel,-34.541216,-58.7135983
8005 - Vicente Lopez,-34.53312,-58.4785831
8006 - San Fernando,-34.457297,-58.5652399
8007 - Franquicia Florida - EE-CAD,-34.530433,-58.4971011
"87 - CD, Munro",-34.517554,-58.5295379
"924 - CD, Isidro Casanova",-34.720327,-58.5863757
947 - Frigorifico Mattievich,-32.860935,-61.17835
941 - Frigorifico Pacheco,-34.448486,-58.6593727
962 - BT Cordoba,-31.394638,-64.2431116
"0950 - CD, Esteban Echeverria",-34.744716,-58.5024973
767 - Mini 24 de Septiembre (0767),-31.412863,-64.1636891
770 - Mini Ituzaingo (0770),-31.423132,-64.1840878
768 - Mini Independencia (0768),-31.422938,-64.1868573
"929 - CD, Isidro Casanova",-34.72038,-58.5864616
766 - Mini 27 de Abril (0766),-31.402219,-64.2326312
"927 - CD, Isidro Casanova",-34.720275,-58.5864401
980 - Plataforma de Carnes Mattievich II,-32.86052,-61.1765769
925 - BT FYV Salta,-24.817812,-65.4093696
922 - BT FYV Mendoza,-32.908767,-68.7876213
769 - Mini San Martin (0769),-31.415653,-64.1838588
765 - Mini Buenos Aires (0765),-31.417021,-64.1829146
0940 - Frigorífico Amancay,-34.450185,-58.963696
772 - Mini Lavalleja (0772),-31.413448,-64.1920407
2209 - Arroz Dos Hermanos,-31.403118,-58.0798707
14884 - Laboratorios Ecovita,-34.570613,-58.5183187
1526 - Johnson &amp Johnson,-34.423496,-58.9958344
0944 - Frigorífico Top Meat,-34.583781,-58.9407151
1752-La Lacteo S.A.,-34.500147,-58.5424659
1221-Revigal S.A.,-34.783514,-58.4305997
0948 - LN Campos y Alimentos SA,-34.430246,-59.4421898
0928-BT PGC Mendoza,-32.908572,-68.7887509
963 - BT Neuquen,-38.958533,-68.0580765
36741- Reckitt,-34.85227,-58.1884432
0771-Santa Fe 723,-31.402382,-64.199338
Crossdock Frios del Norte,-26.870449,-65.1743639
Crossdock Transporte San Martín,-53.79401,-67.7375363
0775 - Market Av. Angel Gallardo 499,-34.604698,-58.4378564
774 - Proxi SAENZ 1050,-34.652803,-58.4160876
776 - MINI - ILLIA 490,-31.422657,-64.1800261
9992 - Transporte Disario Traiding SA,-33.345228,-60.273056
MANUEL QUINTANA 570,-34.587998,-58.3904672
0781- Gabriel Mistral 3153,-34.589234,-58.504504
0780- Av Corrientes 5573,-34.596671,-58.4422553
0778- Bulnes 758,-34.602747,-58.4179685
0777- Bucarelli 1980,-34.579672,-58.4846288
0782 - Mini Zapiola,-34.564601,-58.4642601
784 - Mini Bedoya,-31.397275,-64.1870642
785 - Mini San Juan,-31.42024,-64.1896498
0783 - Mini Cabildo 1287,-34.567927,-58.4486711
0790- Mini Ituzaingo 921,-31.427629,-64.1859732
0788-Mansilla 3620,-34.591204,-58.4145122
0787-Alvear 2446,-34.54749,-58.5513907
0791-Beiro 3342,-34.598084,-58.5001192
0792-Av. Independencia 3802,-34.621351,-58.4188912
0789-Mini Duarte Quiros 1851,-31.411817,-64.2099855
786 - Mini Lima 987,-31.413639,-64.1698788
795 - Guatemala 4540,-34.587264,-58.4231076
779 - Av. Carabobo 269,-34.630312,-58.4552442
797 - Nogoyá 2744,-34.600654,-58.4881351
798 - Franklin D. Roosevelt 2268,-34.556574,-58.4592139
796 - Av. Chiclana 3002,-34.630648,-58.4065889
793 - : Boulevard. San Juan 835,-31.417677,-64.19682
794 - Mariano Fragueiro 2220,-31.389743,-64.1837024
704 - MAXI EZPELETA,-34.748639,-58.2231617
708 - Brasil 2598,-34.457226,-58.7267116
799-Market Soler Palermo,-34.580052,-58.4343495
802-Artigas 4925 San Martín GBA,-34.552116,-58.5586806
806-J de Altolaguirre 2222,-31.383247,-64.1340268
807-Av. Capdevila 264,-31.380322,-64.171272
808-Av constituyentes 4081/83,-34.585131,-58.4884389
809-Jose antonio Cabrera 3291,-34.596666,-58.4126397
810-Avenida Colón 1750 (Córdoba),-31.406295,-64.2067261
Esteban Echeverria,-34.81976,-58.465246
805 - Medrano 414,-34.605842,-58.4214534
811-Avenida Alvarez Thomas 1002,-34.578913,-58.4558594
812-Avenida Cobo 1697,-34.64324,-58.439268
814-MINI - SAN JERONIMO 3034,-31.423681,-64.1450856
813 - COLON 1088,-31.409097,-64.1978312
BT MERCURE,-24.230529,-65.2508551
816 - INC SA MINI AVENIDA CONSTITUYE,-34.571236,-58.5067463
709 - INC SA MAXI LOMA HERMOSA (709),-34.562512,-58.6002588
815 - INC SA MINI AVENIDA VARELA,-34.6432,-58.4545076
817-MINI - DUARTE Q. 2400,-31.409367,-64.2159415
BT FORMOSA,-26.205622,-58.2097698
818- Express - Av. VELEZ SARFIELD 1045,-31.427116,-64.1916353
819 - INC SA MINI AVENIDA CABILDO 39,-34.546942,-58.4695447
820 - EXPRESS - Av.Castro Barros 359,-31.401817,-64.1961629
821- EXPRESS - SANTA FE 65,-31.409944,-64.201699
823 - INC SA MINI 823 SAN MARTIN 115,-34.594401,-58.374268
Malvinas Argentinas,-34.463436,-58.7256602
826 - INC SA MINI AV. FRANCISCO BEIRO 5418,-34.615215,-58.5265095
828 - INC SA MINI AV. FEDERICO LACRO,-34.563956,-58.4392197
827 - INC SA MINI AV. JUAN B JUSTO 3,-34.602676,-58.4560016
825 - INC SA MINI 825-BOULEVARD SARM,-31.418803,-64.5053894
824 - INC SA MINI 824 - AV.SAN MARTI,-31.249149,-64.4674683
822 - MINI ESPAÑA,-32.888349,-68.8415404
833 - INC SA AVENIDA VICENTE ZAPATA,-32.895043,-68.8400276
829 - INC SA ARRIBE?OS 2862/2866,-34.550954,-58.4564307
837 - INC SA MINI NUNEZ 3802,-34.557078,-58.4800114
GIUMA,-26.205163,-58.2100786
838 - INC SA SOLER 4072,-34.59114,-58.4184165
839 - INC SA MONTEVIDEO 461,-34.603647,-58.3894064
841-Paso de los Andes 2212 - Godoy Cruz,-32.874744,-68.8559331
840-Av Donato Alvarez 194,-34.623386,-58.4551956
844-Nazaret 2950 Cordoba,-31.392589,-64.2227007
845-Diaz Colodrero 3187,-34.567132,-58.4908314
846 - INC SA MINI 846 - SANTIAGO TEM,-31.431414,-64.1937596
848-Avenida Elcano 4200,-34.584972,-58.4604038
849-Avenida Monroe 5771,-34.578493,-58.4936172
700 - Maxi Catamarca,-28.4644,-65.7589278
985 - Frigorifico TOLOSA,-34.935157,-58.9741046
847 - INC SA MINI 847 - AVENIDA EDEN,-31.092758,-64.4813461
850-Express Deheza 2845,-34.542572,-58.4781588
856-Express Bulnes 250,-34.607736,-58.4191288
843-Proxi Montevideo 244,-32.892336,-68.8431908
855-Proxi Bartolomé Mitre 4202,-34.610204,-58.4262476
858 - Proxi Río de Janeiro 838,-34.604566,-58.4309129
854 - Proxi Av. Bartolome Mitre 3125,-34.647172,-58.7941699
859 - Proxi Thames 647,-34.594202,-58.4414716
853 - Proxi,-31.410837,-64.1920472
860 - Proxi Lopez Y Planes 265,-30.982374,-64.4920196
861 - Proxi Prudencio Bustos 122,-31.656699,-64.4288785
852 - Proxi Saenz Peña 130,-31.288376,-64.2941914
503 - MAXI San Vicente,-35.000556,-58.3977358
836 - INC SA SAN PUEYRRED?N 283/291,-32.899268,-68.8549568
986-Frigorifico Tres Lomas,-36.445314,-62.8907985
"851 - Proxi Ozamis 31, maipu, Mza",-32.985768,-68.7907863
506 - Maxi Resistencia,-27.438155,-59.0151961
505 - Maxi Pilar,-34.396269,-58.8442101
504 - Maxi Cacheuta Cordoba,-31.460009,-64.2158172
505- Maxi Pilar,-34.396389,-58.8438244
842 - INC SA MINI JUAN AGUST?N MAZA,-32.952391,-68.7879748
908 - EIFEL,-34.44722,-58.7158325
908 - Eifel,-34.44906,-58.7189426
864 - INC SA MINI FRAY CAYETANO,-34.622685,-58.4652478
507 - Maxi Mendoza San Martin,-33.081627,-68.4702006
863 - INC SA SARMIENTO LAVALLE - MEN,-32.72045,-68.5958567
866 - INC SA MINI AVENIDA MONTES DE,-34.646744,-58.373122
868 - INC SA MINI GALLO 931,-34.598808,-58.4122816
508 - Maxi San Miguel,-34.564784,-58.6584125
857 - INC SA MINI PERITO MORENO 341,-32.928972,-68.8447429
870 - INC SA MINI GODOY CRUZ CAPITAL,-34.579646,-58.4254177
865 - INC SA EXPRESS AVENIDA SAN MAR,-31.239233,-64.4647674
834 - INC SA SAN LORENZO 690 (MENDOZ,-32.892097,-68.84919
872 - EXPRESS AVENIDA SAN MART?N 484,-31.167852,-64.319479
222 - INC SA EXPRESS PARANA,-31.423289,-64.1796194
225 - INC SA EXPRESS-BARRANQUITA PLA,-31.380158,-64.2447887
223 - INC SA EXPRESS-OCTAVIO PINTO,-31.389191,-64.2154694
873 - INC SA EXPRESS-SANTIAGO DERQUI,-31.425798,-64.1872526
937 - INC SA - BASE SALTA,-24.818251,-65.4091785
236 - INC SA AVENIDA RIVADAVIA,-34.62935,-58.4648193
224 - INC SA EXPRESS-AMBROSIO OLMOS,-31.431984,-64.1925929
874 - INC SA EXPRESS-CARAFFA,-31.387164,-64.2151107
867 - INC SA EXPRESS 9 DE JULIO,-31.090859,-64.4853361
245 - INC SA EXPRESS AVENIDA SAN MAR,-34.60204,-58.4674997
280 - INC SA AVENIDA REP?BLICA DE CH,-31.378232,-64.2775894
281 - INC SA SAGRADA FAMILIA,-31.386599,-64.2275233
269 - INC SA EXPRESS TIBURCIO BENEGA,-32.87501,-68.847511
194 - INC SA MINI - JACINTO DE A,-31.389491,-64.1341073
MAXI CANUELAS,-35.036923,-58.7599918
MAXI CHIVILCOY,-34.920739,-59.9882832
MAXI MADARIAGA,-37.106841,-56.891166
MINI - AV. SAN JUAN 560,-34.621992,-58.3734901
Mini Av Independencia 1520,-34.617745,-58.388253
MINI - RIVADAVIA 57,-32.891624,-68.8404138
MINI - ROQUE SAENZ PENA 121 Mza,-33.03736,-68.882369
MINI - JOSE INGENIEROS 59 Cba,-31.422701,-64.4967393
MINI - AV. CABILDO 3722,-34.548825,-58.4685369
MAXI - JUJUY (502),-24.199024,-65.3118412
MAXI AV. SAN JUAN,-34.625823,-58.412763
MINI - AV CORRIENTES 3401,-34.604142,-58.4135087
MINI - J R VELASCO 745,-34.59615,-58.4387858
MINI - JULIO A ROCA 177 Cba,-30.980617,-64.0982576
MINI - LUIS AGOTE 3092 CBA,-31.423994,-64.2286096
MINI - AV CABILDO 4300,-34.544556,-58.4719916
MINI - SAN JERONIMO 444 CBA,-3.141889214,-6.417850055
MINI - CASEROS 243 CBA,-3.141723493,-6.418859102
MINI - AV INDEPENDENCIA 2054,-3.461846282,-5.839556274
MINI - AV CALLAO 1450 (192),-3.45922628,-5.83924341
MINI - PARAGUAY 3079 (756),-3.459519568,-5.841065481
MINI - AV BELGRANO 140 Cba,-3.165815316,-6.442807205
MINI - BANDERA ANDES 6729 MZA,-3.29127365,-6.87659798
